,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Sos2,0,0,0,0,0,0,0,0,0,0,1,0
Tlk2,0,0,0,0,0,0,1,0,0,0,0,0
Srsf1,1,0,0,0,1,0,0,0,0,0,0,0
Edrf1,0,0,0,0,0,0,1,0,0,0,0,0
Pdgfra,0,0,1,0,0,0,1,0,0,1,0,0
Yaf2,0,0,1,0,0,0,0,0,0,0,0,0
Ptafr,0,0,0,1,0,0,0,0,0,0,0,1
Fmr1,0,1,0,0,0,0,0,0,1,0,1,0
Cdk19,0,1,0,0,0,0,0,0,0,0,1,0
Ccdc93,0,0,0,0,0,0,0,1,0,0,0,0
Senp6,0,0,0,0,0,0,0,0,1,0,0,0
Tsc22d1,0,0,0,0,0,0,0,1,0,0,0,0
Bmp3,0,0,0,0,0,0,0,0,0,0,1,0
Kcna4,0,0,0,0,0,0,1,0,0,0,0,0
B3galt2,0,0,0,0,0,0,0,0,1,0,0,0
Lcp2,1,0,0,0,1,0,0,0,0,0,0,0
Kdm3a,0,0,0,1,0,0,1,0,0,0,0,1
Adm,0,0,0,0,0,1,0,0,0,0,0,0
Sbno1,0,0,0,0,0,0,0,0,1,0,0,0
Cbfb,0,0,0,0,0,1,0,0,0,0,0,0
Pxdn,0,0,0,1,0,0,0,0,0,0,0,1
Pitx2,0,0,1,0,0,0,0,0,0,0,0,0
Slc35d2,0,0,0,1,0,0,0,0,0,0,0,1
Atp6v1a,0,0,1,0,0,0,0,0,0,0,0,0
Mnx1,0,0,1,0,0,0,0,0,0,0,0,0
Magee2,0,0,1,0,0,0,0,0,0,0,0,0
LOC100125364,0,0,1,0,0,0,0,0,0,0,0,0
Hnf4g,0,0,0,0,0,0,0,0,1,0,0,0
Apba1,0,0,0,0,0,0,0,0,0,1,0,0
Melk,0,0,0,0,0,0,0,0,1,0,0,0
Hltf,0,0,0,0,0,0,0,0,1,0,0,0
Kat7,0,0,0,0,0,0,0,0,0,1,1,0
